tempid,latitude,longitude
170023,40.71007644,-74.01226648
170024,40.71011368,-74.01235235
170507,40.70807232,-74.01779961
170505,40.70819667,-74.01770609
170510,40.70793564,-74.01785188
174238,40.70824405,-74.00030329
170022,40.71003947,-74.01218125
202192,40.70648572,-74.00659163
202190,40.70624547,-74.00626875
202191,40.70628634,-74.00632368
170464,40.70859119,-74.01814005
170538,40.70811787,-74.01746459
170460,40.70868098,-74.01836049
170462,40.70860048,-74.01826841
170461,40.70863314,-74.01832189
174237,40.70816902,-74.00024469
170463,40.70858647,-74.01820581
170465,40.70861933,-74.01807269
171296,40.70652195,-74.01587401
171297,40.70649277,-74.01591995
171302,40.70630501,-74.01594807
171299,40.70641835,-74.01594654
171298,40.70645044,-74.01589956
171300,40.70637601,-74.01592616
171309,40.7054728,-74.01627237
171310,40.70540017,-74.01630065
171312,40.70523569,-74.0163647
171304,40.70620417,-74.01596915
171313,40.70516464,-74.01639237
171307,40.70574649,-74.01616578
171308,40.70554333,-74.0162449
171301,40.70634763,-74.01597181
171303,40.70625869,-74.01599245
171315,40.7049857,-74.01617509
171314,40.70500184,-74.01636453
169934,40.70218457,-74.01288765
169936,40.70211131,-74.01286874
170697,40.70695476,-74.01646687
170459,40.7088087,-74.01833042
171311,40.70533438,-74.01632627
169935,40.70214417,-74.01287723
170701,40.70683661,-74.01651289
171305,40.70597465,-74.01607693
171306,40.70584149,-74.01612879
202416,40.70750208,-74.00699663
202418,40.70762288,-74.00690301
169939,40.70192734,-74.01282109
169940,40.70185852,-74.01280242
202419,40.70768481,-74.00686335
274294,40.70513292,-74.00768555
202417,40.70755996,-74.0069455
169937,40.70206606,-74.01285707
169938,40.70199442,-74.01283857
202193,40.70652256,-74.00664114
202194,40.70656938,-74.00670407
169941,40.70178954,-74.01278256
273768,40.7027278,-74.01274439
274607,40.70223939,-74.00974624
275125,40.70440175,-74.00657119
274604,40.70216222,-74.00993235
275127,40.70449923,-74.00668766
274606,40.70221847,-74.00979284
274611,40.70233254,-74.00953874
275129,40.70459995,-74.00680801
274603,40.70213805,-74.00999712
274605,40.70218638,-74.00986758
275124,40.70434733,-74.00650616
275114,40.70393164,-74.0073529
275126,40.70445049,-74.00662943
273770,40.70277592,-74.01254424
275113,40.70394917,-74.00732753
274306,40.70385022,-74.00880094
274307,40.70380185,-74.00874652
275103,40.70410195,-74.00750989
276182,40.7064502,-74.00476369
274609,40.70228317,-74.0096487
274610,40.7023066,-74.00959652
275128,40.70454918,-74.00674735
274994,40.70499358,-74.00527089
274996,40.70506751,-74.00515466
274995,40.70503055,-74.00521277
274997,40.70510447,-74.00509654
273769,40.70274781,-74.01266117
273659,40.70307912,-74.01383121
273657,40.70309003,-74.01399761
273658,40.70308406,-74.01391793
277591,40.70992042,-74.00233727
273660,40.70307103,-74.01362519
277596,40.71032502,-74.0028475
276137,40.70846935,-74.00310603
274293,40.70518268,-74.00761436
277592,40.71007886,-74.00253706
277594,40.71017728,-74.00266119
277600,40.71061891,-74.00321813
279048,40.71155705,-74.01551679
277216,40.70766672,-74.00804115
277217,40.7076238,-74.00802731
279053,40.71141655,-74.01517377
277590,40.70983923,-74.00223487
273687,40.70294864,-74.01424598
277597,40.71037492,-74.00291044
277588,40.7095992,-74.00193218
277230,40.70763503,-74.00787436
275109,40.70400931,-74.00739931
275110,40.70399178,-74.00742468
277599,40.71057059,-74.00315719
279049,40.71152322,-74.01543421
277595,40.71022679,-74.00272362
277232,40.70769653,-74.00791901
275111,40.70397924,-74.00736342
284527,40.70972675,-74.01642047
277313,40.70788787,-74.00424521
284525,40.7096736,-74.01644798
284518,40.70942217,-74.01657955
277219,40.70748478,-74.0077568
170720,40.70614134,-74.01678371
284925,40.70991994,-74.01535667
276181,40.70640616,-74.00471371
275102,40.70411287,-74.00756921
277593,40.71012797,-74.002599
279050,40.7114959,-74.01536751
275106,40.70405354,-74.0074984
275117,40.70389106,-74.00725818
284520,40.70948236,-74.01654808
277589,40.70967842,-74.00203208
274295,40.70508279,-74.00775727
284523,40.70960833,-74.01648216
276131,40.70775847,-74.00391461
275105,40.70407107,-74.00747303
277302,40.70851838,-74.00478898
277228,40.7074242,-74.00768216
277221,40.70744062,-74.00768779
284816,40.70996199,-74.01618547
277231,40.70766866,-74.00789878
277218,40.707589,-74.00791968
276138,40.70864272,-74.00289507
277306,40.70823218,-74.00452025
284926,40.70992766,-74.01542598
277311,40.7080497,-74.00437449
275799,40.70428804,-74.00849505
279052,40.71144126,-74.01523411
279047,40.71158567,-74.01558667
276139,40.70871688,-74.00280389
276141,40.70917952,-74.00221298
275800,40.70442063,-74.00830249
277314,40.70769883,-74.00409421
279135,40.7112018,-74.0160558
275798,40.7042641,-74.00852982
276136,40.70839686,-74.00318888
276140,40.70905387,-74.00237944
