tree_id,x_sp,y_sp
170023,980849.2532,197976.7271
170024,980825.4501,197990.2986
170507,979315.106,197246.8264
170505,979341.0443,197292.1255
170510,979300.6054,197197.0341
174238,984165.9126,197308.8915
170022,980872.8821,197963.2544
202192,982422.4459,196668.3479
202190,982511.9588,196580.8126
202191,982496.7302,196595.7043
170464,979220.7607,197435.886
170538,979407.9926,197263.4034
170460,979159.6522,197468.6146
170462,979185.1738,197439.2794
170461,979170.3487,197451.18
174237,984182.1612,197281.5563
170463,979202.5268,197434.1728
170465,979239.4372,197446.136
171296,979848.871,196681.879
171297,979836.1335,196671.2507
171302,979828.3241,196602.845
171299,979828.7556,196644.1363
171298,979841.7821,196655.8266
171300,979834.4045,196628.7121
171309,979738.3551,196299.6626
171310,979730.5077,196273.2017
171312,979712.7377,196213.2812
171304,979822.4734,196566.1082
171313,979705.0609,196187.3954
171307,979767.9246,196399.3704
171308,979745.9749,196325.3567
171301,979821.7457,196618.3729
171303,979816.0171,196585.9707
171315,979765.2941,196122.1915
171314,979712.7689,196128.0822
169934,980676.6177,195101.5042
169936,980681.8569,195074.8133
170697,979684.5291,196839.5965
170459,979167.9964,197515.1424
171311,979723.3998,196249.2335
169935,980679.5071,195086.7854
170701,979671.7605,196796.5504
171305,979792.5752,196482.4923
171306,979778.1884,196433.9805
202416,982310.1856,197038.648
202418,982336.1465,197082.6587
169939,980695.0609,195007.7859
169940,980700.2345,194982.7141
202419,982347.1445,197105.221
274294,982119.1076,196175.5076
202417,982324.3654,197059.7355
169937,980685.0927,195058.3281
169938,980690.2161,195032.2265
202193,982408.7186,196681.772
202194,982391.2734,196698.8314
169941,980705.7371,194957.5806
273768,980716.3683,195299.4136
274607,981547.6445,195121.3644
275125,982428.0555,195909.0974
274604,981496.039,195093.2562
275127,982395.7652,195944.6128
274606,981534.7239,195113.7443
274611,981605.1838,195155.2977
275129,982362.3991,195981.3122
274603,981478.0797,195084.454
274605,981513.9979,195102.0577
275124,982446.084,195889.268
275114,982211.303,195737.8369
275126,982411.9102,195926.8552
273770,980771.8672,195316.9382
275113,982218.3354,195744.2237
274306,981809.8093,195708.2113
274307,981824.8949,195690.5857
275103,982167.7788,195799.8926
276182,982929.2477,196655.3768
274609,981574.6914,195137.3148
274610,981589.1621,195145.8493
275128,982379.2167,195962.8145
274994,982788.5931,196124.6938
274996,982820.8214,196151.6261
274995,982804.7073,196138.1599
274997,982836.9352,196165.0923
273769,980739.445,195306.7006
273659,980415.0467,195427.4553
273657,980368.9116,195431.4389
273658,980391.0044,195429.2591
277591,983602.0174,197919.6551
273660,980472.1706,195424.4996
277596,983460.5659,198067.0659
276137,983388.8656,197390.9918
274293,982138.8467,196193.6359
277592,983546.6274,197977.3784
277594,983512.2167,198013.2392
277600,983357.8177,198174.1424
279048,979948.2369,198516.2995
277216,982020.5993,197098.6574
277217,982024.4342,197083.0193
279053,980043.3263,198465.0936
277590,983630.4048,197890.0721
273687,980300.0387,195379.938
277597,983443.1177,198085.2486
277588,983714.32,197802.6215
277230,982066.842,197087.1062
275109,982198.4355,195766.1357
275110,982191.4027,195759.749
277599,983374.7114,198156.5368
279049,979971.1286,198503.9718
277595,983494.9073,198031.2775
277232,982054.4647,197109.5153
275111,982208.3856,195755.1801
284527,979697.5823,197849.5125
277313,983073.0227,197179.1539
284525,979689.9517,197830.1506
284518,979653.4587,197738.5537
277219,982099.4285,197032.3622
170720,979596.6267,196543.2589
284925,979992.5223,197919.844
276181,982943.103,196639.3309
275102,982151.3339,195803.8696
277593,983529.4568,197995.2727
279050,979989.6181,198494.0151
275106,982170.9651,195782.2535
275117,982237.5634,195723.0518
284520,979662.1867,197760.4805
277589,983686.6251,197831.483
274295,982099.2215,196157.2449
284523,979680.4727,197806.3702
276131,983164.6803,197132.0054
275105,982177.9976,195788.6403
277302,982922.2786,197408.8749
277228,982120.1224,197010.2917
277221,982118.5613,197016.2714
284816,979762.7504,197935.2062
277231,982060.0729,197099.3608
277218,982054.2741,197070.3372
276138,983447.3566,197454.1521
277306,982996.7755,197304.5995
284926,979973.3084,197922.6587
277311,983037.1845,197238.1167
275799,981894.6359,195867.7136
279052,980026.5973,198474.1021
279047,979928.8669,198526.73
276139,983472.6357,197481.17
276141,983636.4671,197649.7193
275800,981948.0312,195916.0137
277314,983114.8858,197110.2787
279135,979798.7838,198386.8972
275798,981884.9949,195858.9925
276136,983365.8958,197364.5837
276140,983590.3176,197603.9454
279134,979806.0348,198410.8227
277304,982977.8693,197335.7045
275803,981986.5944,195950.8972
275101,982158.3664,195810.2567
275932,982488.3424,196661.0129
276220,983709.7911,197365.9137
274998,982853.0494,196178.5588
275938,982660.6928,196318.9467
276132,983184.8108,197143.2311
276183,982914.7392,196672.1799
277315,983131.8185,197082.4208
274308,981851.8148,195659.1327
276135,983318.6954,197324.7924
275937,982654.3175,196325.9899
275801,981956.1886,195923.393
283671,979487.7487,197428.0127
275933,982462.729,196686.3104
278220,979873.9261,199819.0059
277437,982833.4395,197776.0261
275107,982188.3509,195777.2401
275116,982220.8498,195727.3248
278219,979899.8935,199861.7339
279051,980011.6299,198482.1621
283673,979512.7828,197454.2528
276242,982926.6854,196617.5566
275112,982201.3528,195748.7933
276219,983691.1025,197389.3812
283674,979509.4842,197468.0995
275941,982622.5862,196297.2676
275943,982606.4239,196282.6383
276130,983131.3595,197086.9973
275935,982669.8867,196340.0824
275939,982638.6003,196311.7629
277233,982720.6428,197273.7171
275802,981966.5715,195932.7847
278218,979923.5756,199900.7023
275936,982676.262,196333.0395
274608,981561.2537,195129.3903
274310,981902.2731,195600.1777
275108,982181.3184,195770.8533
275115,982227.8823,195733.7116
274309,981890.1786,195614.3086
278243,979672.7526,199921.5359
275944,982612.7992,196275.595
277227,982126.4078,196998.9125
275934,982692.2757,196347.5348
276243,982908.8127,196603.3998
278347,979793.6884,200584.2117
275942,982628.9612,196290.2246
170709,979642.9242,196699.337
278226,979671.7693,199476.5348
278222,979750.3433,199609.214
276122,983127.2007,196444.2765
277312,983057.5447,197204.6191
276125,983072.4013,196508.4666
283651,979404.7807,197747.6082
283652,979426.5953,197740.9783
277310,983015.6813,197273.4946
277307,982991.7738,197294.5382
277309,983002.8886,197276.2512
275130,982346.2538,195999.0703
276134,983251.7556,197247.8306
283648,979347.5649,197764.9976
278242,979760.4296,199869.8063
273859,980652.5833,195247.4659
274407,981900.8505,195773.5045
274408,981910.6349,195762.8034
278109,980376.5917,199864.8743
278111,980334.5039,199873.6833
273850,980624.2668,195383.3465
277909,980029.7427,199964.4672
273849,980632.3835,195390.9629
277910,980053.2899,199959.8278
274406,981885.3302,195790.4785
283675,979523.9366,197474.8236
273855,980645.685,195327.134
273856,980654.7838,195283.472
278110,980351.1433,199870.2004
278112,980315.9068,199877.5754
284528,979710.2302,197855.7123
273853,980640.9928,195349.65
273860,980664.2906,195237.852
273862,980669.5951,195212.399
