status,health,commonname,latitude,longitude
Alive,Fair,willow oak,40.7820872,-73.98096428
Alive,Fair,London planetree,40.7337165,-73.97705764
Alive,Fair,London planetree,40.7821811,-73.97238977
Alive,Fair,pin oak,40.74503399,-73.98253015
Alive,Fair,London planetree,40.77222448,-73.95894426
Alive,Fair,American elm,40.7825057,-73.97308773
Alive,Fair,London planetree,40.78283422,-73.97469909
Alive,Fair,American elm,40.81114538,-73.96412322
Alive,Fair,honeylocust,40.73943979,-73.98436755
Alive,Fair,ginkgo,40.73570804,-73.98261517
Alive,Fair,ginkgo,40.78010688,-73.98322688
Alive,Fair,honeylocust,40.74486653,-73.98598251
Alive,Fair,honeylocust,40.75235028,-73.97971637
Alive,Fair,honeylocust,40.76961476,-73.98364215
Alive,Fair,Turkish hazelnut,40.71975914,-73.98660086
Alive,Fair,London planetree,40.73357762,-73.97672526
Alive,Fair,Callery pear,40.80754134,-73.95861206
Alive,Fair,swamp white oak,40.74797175,-74.00705779
Alive,Fair,American linden,40.77123388,-73.95966713
Alive,Fair,honeylocust,40.77047459,-73.98596471
Alive,Fair,Sophora,40.72569708,-73.97909807
Alive,Fair,Japanese zelkova,40.73986146,-73.98536217
Alive,Fair,Japanese zelkova,40.7398883,-73.98542513
Alive,Fair,honeylocust,40.77029022,-73.98329815
Alive,Fair,Callery pear,40.77339058,-73.96333908
Alive,Fair,Sophora,40.73722897,-74.00564484
Alive,Fair,Sophora,40.73712447,-74.00566547
Alive,Fair,Callery pear,40.77160911,-73.95939435
Alive,Fair,American linden,40.80378267,-73.95279851
Alive,Fair,honeylocust,40.77201829,-73.95909467
Alive,Fair,Callery pear,40.77253263,-73.95840918
Alive,Fair,tulip-poplar,40.83746668,-73.93929338
Alive,Fair,American linden,40.78268096,-73.95560689
Alive,Fair,Japanese zelkova,40.74455271,-73.98138805
Alive,Fair,honeylocust,40.78248964,-73.95574568
Alive,Fair,ginkgo,40.74668429,-73.98454526
Alive,Fair,Japanese zelkova,40.80521641,-73.96208728
Alive,Fair,American linden,40.76269727,-73.98723336
Alive,Fair,honeylocust,40.78792705,-73.94218177
Alive,Fair,honeylocust,40.78777343,-73.94181856
Alive,Fair,Japanese zelkova,40.74464396,-73.9816046
Alive,Fair,pin oak,40.74414068,-73.9801313
Alive,Fair,Callery pear,40.7515513,-73.99175365
Alive,Fair,London planetree,40.80017463,-73.94728297
Alive,Fair,American linden,40.78793128,-73.94804647
Alive,Fair,littleleaf linden,40.78369752,-73.95751207
Alive,Fair,Callery pear,40.78082918,-73.98466889
Alive,Fair,Japanese zelkova,40.78835052,-73.94318303
Alive,Fair,pin oak,40.73597258,-73.99979465
Alive,Fair,pin oak,40.74417854,-73.9802213
Alive,Fair,ginkgo,40.80767399,-73.95892624
Alive,Fair,littleleaf linden,40.79870324,-73.97138909
Alive,Fair,ginkgo,40.78325205,-73.97266371
Alive,Fair,hardy rubber tree,40.79191865,-73.97311462
Alive,Fair,hardy rubber tree,40.79187516,-73.97301173
Alive,Fair,black walnut,40.82110009,-73.95525228
Alive,Fair,honeylocust,40.80291939,-73.95251941
Alive,Fair,Callery pear,40.76509625,-73.96092165
Alive,Fair,black locust,40.80177203,-73.9510733
Alive,Fair,Sophora,40.78288379,-73.9572061
Alive,Fair,white oak,40.76412612,-73.95898881
Alive,Fair,Sophora,40.74638074,-73.99121011
Alive,Fair,golden raintree,40.80900142,-73.95427116
Alive,Fair,Callery pear,40.79174164,-73.97685545
Alive,Fair,ginkgo,40.73593186,-73.99969807
Alive,Fair,honeylocust,40.77022444,-73.98314179
Alive,Fair,Callery pear,40.80544227,-73.96171282
Alive,Fair,Japanese zelkova,40.76253014,-73.98878529
Alive,Fair,pin oak,40.74421095,-73.98029836
Alive,Fair,pin oak,40.83972275,-73.94235337
Alive,Fair,pin oak,40.81010258,-73.96237155
Alive,Fair,littleleaf linden,40.74571646,-73.99089075
Alive,Fair,pin oak,40.74739401,-73.97887588
Alive,Fair,pin oak,40.78550341,-73.9787489
Alive,Fair,pin oak,40.83929011,-73.94152271
Alive,Fair,cherry,40.71526804,-73.99648919
Alive,Fair,Callery pear,40.76540213,-73.96070178
Alive,Fair,Sophora,40.77681563,-73.97964187
Alive,Fair,Callery pear,40.72043227,-73.98442478
Alive,Fair,Callery pear,40.77323682,-73.94613702
Alive,Fair,Callery pear,40.78499629,-73.95565995
Alive,Fair,tree of heaven,40.76295556,-73.96009347
Alive,Fair,American linden,40.80386632,-73.95280268
Alive,Fair,Callery pear,40.76521716,-73.96083474
Alive,Fair,green ash,40.80656601,-73.96766169
Alive,Fair,pin oak,40.77274745,-73.95825318
Alive,Fair,Chinese elm,40.78783662,-73.94782235
Alive,Fair,honeylocust,40.72295615,-73.99041218
Alive,Fair,honeylocust,40.74491073,-73.98608852
Alive,Fair,ginkgo,40.80763146,-73.95882551
Alive,Fair,honeylocust,40.75230061,-73.97975264
Alive,Fair,honeylocust,40.72288457,-73.99044897
Alive,Fair,Sophora,40.7352826,-74.00020241
Alive,Fair,ginkgo,40.7719741,-73.95998786
Alive,Fair,Sophora,40.74659951,-73.98042948
Alive,Fair,white oak,40.77707643,-73.98893478
Alive,Fair,littleleaf linden,40.79423949,-73.97304802
Alive,Fair,pin oak,40.74747069,-73.97881957
Alive,Fair,Callery pear,40.78032825,-73.95986559
Alive,Fair,Callery pear,40.77136072,-73.95957492
Alive,Fair,Callery pear,40.73608757,-73.98049342
Alive,Fair,Callery pear,40.76503411,-73.96096631
Alive,Fair,honeylocust,40.78795347,-73.94224425
Alive,Fair,American linden,40.7829954,-73.97205653
Alive,Fair,littleleaf linden,40.77828881,-73.98065303
Alive,Fair,Callery pear,40.75775098,-73.98298348
Alive,Fair,Callery pear,40.79186131,-73.97713483
Alive,Fair,Callery pear,40.77313601,-73.94621057
Alive,Fair,Callery pear,40.76947659,-73.98163991
Alive,Fair,littleleaf linden,40.82209613,-73.95635218
Alive,Fair,ginkgo,40.8089231,-73.95850941
Alive,Fair,ginkgo,40.8088668,-73.95837743
Alive,Fair,honeylocust,40.78780012,-73.94188167
Alive,Fair,honeylocust,40.7985974,-73.9706287
Alive,Fair,London planetree,40.80881155,-73.96331506
Alive,Fair,London planetree,40.78136313,-73.97577037
Alive,Fair,American elm,40.79180552,-73.97700458
Alive,Fair,pin oak,40.78388438,-73.95819972
Alive,Fair,London planetree,40.80042359,-73.94787361
Alive,Fair,London planetree,40.80013815,-73.94719642
Alive,Fair,mulberry,40.76483867,-73.99036063
Alive,Fair,Callery pear,40.79866829,-73.97057648
Alive,Fair,Callery pear,40.77090246,-73.9599131
Alive,Fair,Sophora,40.80634619,-73.96778354
Alive,Fair,Japanese zelkova,40.78838816,-73.94327201
Alive,Fair,London planetree,40.71605719,-73.99195197
Alive,Fair,pin oak,40.72897625,-73.97924634
Alive,Fair,ginkgo,40.78475614,-73.9558363
Alive,Fair,shingle oak,40.8717917,-73.9153445
Alive,Fair,Callery pear,40.77035668,-73.98568578
Alive,Fair,Chinese chestnut,40.7131261,-73.98846856
Alive,Fair,weeping willow,40.71064673,-73.98593279
Alive,Fair,pin oak,40.81106551,-73.96171153
Alive,Fair,American elm,40.78811527,-73.94848207
Alive,Fair,littleleaf linden,40.77200726,-73.96006647
Alive,Fair,littleleaf linden,40.76950279,-73.98170418
Alive,Fair,ginkgo,40.77522397,-73.955328
Alive,Fair,English oak,40.78171656,-73.95306211
Alive,Fair,pin oak,40.80279369,-73.96545669
Alive,Fair,pin oak,40.83939878,-73.94173134
