status,health,commonname,latitude,longitude
Alive,Poor,ginkgo,40.75019786,-73.97469992
Alive,Poor,ginkgo,40.75041366,-73.97454407
Alive,Poor,Sophora,40.71751014,-73.99597274
Alive,Poor,Norway maple,40.72058608,-73.98520399
Alive,Poor,swamp white oak,40.79637945,-73.96197027
Alive,Poor,London planetree,40.78215257,-73.97232222
Alive,Poor,littleleaf linden,40.76609772,-73.9522019
Alive,Poor,pin oak,40.77984411,-73.98261058
Alive,Poor,London planetree,40.77317474,-73.95824842
Alive,Poor,ginkgo,40.79884647,-73.97071407
Alive,Poor,London planetree,40.77933026,-73.96004119
Alive,Poor,London planetree,40.78489887,-73.97237861
Alive,Poor,London planetree,40.78285948,-73.97392546
Alive,Poor,littleleaf linden,40.82214024,-73.95630004
Alive,Poor,eastern hemlock,40.86504717,-73.92541528
Alive,Poor,littleleaf linden,40.78667022,-73.96870096
Alive,Poor,Schumard's oak,40.80256195,-73.96312927
Alive,Poor,littleleaf linden,40.73835063,-73.98178513
Alive,Poor,ginkgo,40.74524219,-73.98044348
Alive,Poor,ginkgo,40.8080118,-73.95972638
Alive,Poor,Callery pear,40.7468674,-73.98106569
Alive,Poor,littleleaf linden,40.7370324,-74.00005881
Alive,Poor,Callery pear,40.75760112,-73.98262967
Alive,Poor,Japanese zelkova,40.76207846,-73.98936274
Alive,Poor,Callery pear,40.73603551,-73.98037045
Alive,Poor,Callery pear,40.80538715,-73.96158371
Alive,Poor,pin oak,40.83311894,-73.94556479
Alive,Poor,ginkgo,40.73528675,-74.00525734
Alive,Poor,golden raintree,40.8159328,-73.94962487
Alive,Poor,Sophora,40.78500098,-73.95078978
Alive,Poor,London planetree,40.78285402,-73.97398315
Alive,Poor,London planetree,40.78297279,-73.97419376
Alive,Poor,crab apple,40.78428063,-73.97966394
Alive,Poor,American linden,40.72199801,-74.00045769
Alive,Poor,ginkgo,40.76533898,-73.96018489
Alive,Poor,crab apple,40.78463549,-73.97939576
Alive,Poor,ginkgo,40.75354509,-73.96718811
Alive,Poor,honeylocust,40.72327017,-73.98566846
Alive,Poor,crab apple,40.78561032,-73.97866753
Alive,Poor,ginkgo,40.73942097,-73.98072962
Alive,Poor,littleleaf linden,40.79505147,-73.97322426
Alive,Poor,ginkgo,40.72817512,-73.97886165
Alive,Poor,ginkgo,40.73991127,-73.98189476
Alive,Poor,London planetree,40.79011916,-73.9693774
Alive,Poor,red maple,40.73656785,-74.00368752
Alive,Poor,Japanese zelkova,40.73839561,-73.97992413
Alive,Poor,ginkgo,40.75378202,-73.96413825
Alive,Poor,Chinese elm,40.72721354,-73.99134246
Alive,Poor,crab apple,40.78426343,-73.97967674
Alive,Poor,crab apple,40.83322788,-73.94548516
Alive,Poor,pin oak,40.80973254,-73.96268071
Alive,Poor,ginkgo,40.79350867,-73.97460512
Alive,Poor,ginkgo,40.77082444,-73.95070933
Alive,Poor,American linden,40.80073831,-73.9486203
Alive,Poor,ginkgo,40.79048783,-73.9758199
Alive,Poor,ginkgo,40.72726708,-73.99026683
Alive,Poor,ginkgo,40.79053043,-73.97592096
Alive,Poor,ginkgo,40.78271255,-73.95757414
Alive,Poor,ginkgo,40.80359292,-73.95319089
Alive,Poor,London planetree,40.74771026,-73.9962801
Alive,Poor,Sophora,40.72613223,-73.9875851
